"fecha";"Run Fondo";"periodo";"rent";"serie"
2023-03-08;"8305";"1M";0.02;APV
2023-03-08;"8305";"3M";0.02;APV
2023-03-08;"8305";"6M";-0.04;APV
2023-03-08;"8305";"1Y";0.08;APV
2023-03-08;"8305";YTD;0.02;APV
2023-03-09;"8305";"1M";0.01;APV
2023-03-09;"8305";"3M";0.02;APV
2023-03-09;"8305";"6M";-0.06;APV
2023-03-09;"8305";"1Y";0.06;APV
2023-03-09;"8305";YTD;0.02;APV
2023-03-10;"8305";"1M";0.00;APV
2023-03-10;"8305";"3M";0.02;APV
2023-03-10;"8305";"6M";-0.06;APV
2023-03-10;"8305";"1Y";0.07;APV
2023-03-10;"8305";YTD;0.01;APV
2023-03-11;"8305";"1M";0.00;APV
2023-03-11;"8305";"3M";0.02;APV
2023-03-11;"8305";"6M";-0.06;APV
2023-03-11;"8305";"1Y";0.06;APV
2023-03-11;"8305";YTD;0.01;APV
2023-03-12;"8305";"1M";0.00;APV
2023-03-12;"8305";"3M";0.01;APV
2023-03-12;"8305";"6M";-0.06;APV
2023-03-12;"8305";"1Y";0.06;APV
2023-03-12;"8305";YTD;0.01;APV
2023-03-13;"8305";"1M";0.00;APV
2023-03-13;"8305";"3M";0.01;APV
2023-03-13;"8305";"6M";-0.06;APV
2023-03-13;"8305";"1Y";0.05;APV
2023-03-13;"8305";YTD;0.00;APV
2023-03-14;"8305";"1M";0.00;APV
2023-03-14;"8305";"3M";0.00;APV
2023-03-14;"8305";"6M";-0.07;APV
2023-03-14;"8305";"1Y";0.06;APV
2023-03-14;"8305";YTD;0.00;APV
2023-03-15;"8305";"1M";-0.03;APV
2023-03-15;"8305";"3M";0.01;APV
2023-03-15;"8305";"6M";-0.08;APV
2023-03-15;"8305";"1Y";0.03;APV
2023-03-15;"8305";YTD;-0.02;APV
2023-03-16;"8305";"1M";-0.04;APV
2023-03-16;"8305";"3M";0.00;APV
2023-03-16;"8305";"6M";-0.07;APV
2023-03-16;"8305";"1Y";0.02;APV
2023-03-16;"8305";YTD;-0.02;APV
2023-03-17;"8305";"1M";-0.03;APV
2023-03-17;"8305";"3M";-0.01;APV
2023-03-17;"8305";"6M";-0.09;APV
2023-03-17;"8305";"1Y";-0.01;APV
2023-03-17;"8305";YTD;-0.03;APV
2023-03-18;"8305";"1M";-0.03;APV
2023-03-18;"8305";"3M";-0.01;APV
2023-03-18;"8305";"6M";-0.09;APV
2023-03-18;"8305";"1Y";-0.03;APV
2023-03-18;"8305";YTD;-0.03;APV
2023-03-19;"8305";"1M";-0.03;APV
2023-03-19;"8305";"3M";-0.02;APV
2023-03-19;"8305";"6M";-0.09;APV
2023-03-19;"8305";"1Y";-0.03;APV
2023-03-19;"8305";YTD;-0.03;APV
2023-03-20;"8305";"1M";-0.02;APV
2023-03-20;"8305";"3M";-0.03;APV
2023-03-20;"8305";"6M";-0.05;APV
2023-03-20;"8305";"1Y";-0.01;APV
2023-03-20;"8305";YTD;-0.02;APV
2023-03-21;"8305";"1M";0.02;APV
2023-03-21;"8305";"3M";0.00;APV
2023-03-21;"8305";"6M";-0.03;APV
2023-03-21;"8305";"1Y";-0.02;APV
2023-03-21;"8305";YTD;0.00;APV
2023-03-22;"8305";"1M";0.01;APV
2023-03-22;"8305";"3M";0.01;APV
2023-03-22;"8305";"6M";-0.02;APV
2023-03-22;"8305";"1Y";0.00;APV
2023-03-22;"8305";YTD;0.00;APV
2023-03-23;"8305";"1M";-0.01;APV
2023-03-23;"8305";"3M";-0.01;APV
2023-03-23;"8305";"6M";-0.02;APV
2023-03-23;"8305";"1Y";0.00;APV
2023-03-23;"8305";YTD;-0.01;APV
2023-03-24;"8305";"1M";-0.01;APV
2023-03-24;"8305";"3M";-0.02;APV
2023-03-24;"8305";"6M";-0.02;APV
2023-03-24;"8305";"1Y";-0.03;APV
2023-03-24;"8305";YTD;-0.02;APV
2023-03-25;"8305";"1M";-0.01;APV
2023-03-25;"8305";"3M";-0.02;APV
2023-03-25;"8305";"6M";-0.02;APV
2023-03-25;"8305";"1Y";-0.03;APV
2023-03-25;"8305";YTD;-0.02;APV
2023-03-26;"8305";"1M";-0.01;APV
2023-03-26;"8305";"3M";-0.01;APV
2023-03-26;"8305";"6M";-0.02;APV
2023-03-26;"8305";"1Y";-0.03;APV
2023-03-26;"8305";YTD;-0.02;APV
2023-03-27;"8305";"1M";-0.02;APV
2023-03-27;"8305";"3M";0.00;APV
2023-03-27;"8305";"6M";-0.01;APV
2023-03-27;"8305";"1Y";-0.03;APV
2023-03-27;"8305";YTD;-0.02;APV
2023-03-28;"8305";"1M";-0.03;APV
2023-03-28;"8305";"3M";-0.01;APV
2023-03-28;"8305";"6M";0.00;APV
2023-03-28;"8305";"1Y";-0.03;APV
2023-03-28;"8305";YTD;-0.02;APV
2023-03-29;"8305";"1M";-0.02;APV
2023-03-29;"8305";"3M";0.00;APV
2023-03-29;"8305";"6M";0.03;APV
2023-03-29;"8305";"1Y";-0.01;APV
2023-03-29;"8305";YTD;-0.01;APV
2023-03-30;"8305";"1M";-0.02;APV
2023-03-30;"8305";"3M";-0.01;APV
2023-03-30;"8305";"6M";0.01;APV
2023-03-30;"8305";"1Y";-0.01;APV
2023-03-30;"8305";YTD;-0.01;APV
2023-03-31;"8305";"1M";-0.02;APV
2023-03-31;"8305";"3M";-0.01;APV
2023-03-31;"8305";"6M";0.01;APV
2023-03-31;"8305";"1Y";-0.01;APV
2023-03-31;"8305";YTD;-0.01;APV
2023-04-01;"8305";"1M";-0.01;APV
2023-04-01;"8305";"3M";-0.01;APV
2023-04-01;"8305";"6M";0.01;APV
2023-04-01;"8305";"1Y";-0.02;APV
2023-04-01;"8305";YTD;-0.01;APV
2023-04-02;"8305";"1M";-0.02;APV
2023-04-02;"8305";"3M";-0.01;APV
2023-04-02;"8305";"6M";0.01;APV
2023-04-02;"8305";"1Y";-0.02;APV
2023-04-02;"8305";YTD;-0.01;APV
2023-04-03;"8305";"1M";-0.03;APV
2023-04-03;"8305";"3M";0.02;APV
2023-04-03;"8305";"6M";0.00;APV
2023-04-03;"8305";"1Y";-0.02;APV
2023-04-03;"8305";YTD;-0.01;APV
2023-04-04;"8305";"1M";-0.04;APV
2023-04-04;"8305";"3M";0.01;APV
2023-04-04;"8305";"6M";-0.03;APV
2023-04-04;"8305";"1Y";-0.04;APV
2023-04-04;"8305";YTD;-0.03;APV
2023-04-05;"8305";"1M";-0.04;APV
2023-04-05;"8305";"3M";0.00;APV
2023-04-05;"8305";"6M";-0.02;APV
2023-04-05;"8305";"1Y";-0.02;APV
2023-04-05;"8305";YTD;-0.02;APV
2023-04-06;"8305";"1M";-0.03;APV
2023-04-06;"8305";"3M";0.01;APV
2023-04-06;"8305";"6M";-0.01;APV
2023-04-06;"8305";"1Y";-0.03;APV
2023-04-06;"8305";YTD;-0.02;APV
2023-04-07;"8305";"1M";-0.03;APV
2023-04-07;"8305";"3M";0.01;APV
2023-04-07;"8305";"6M";0.01;APV
2023-04-07;"8305";"1Y";-0.03;APV
2023-04-07;"8305";YTD;-0.02;APV
2023-04-08;"8305";"1M";-0.03;APV
2023-04-08;"8305";"3M";0.01;APV
2023-04-08;"8305";"6M";0.01;APV
2023-04-08;"8305";"1Y";-0.03;APV
2023-04-08;"8305";YTD;-0.02;APV
2023-04-09;"8305";"1M";-0.04;APV
2023-04-09;"8305";"3M";0.01;APV
2023-04-09;"8305";"6M";0.01;APV
2023-04-09;"8305";"1Y";-0.03;APV
2023-04-09;"8305";YTD;-0.02;APV
2023-04-10;"8305";"1M";-0.03;APV
2023-04-10;"8305";"3M";0.01;APV
2023-04-10;"8305";"6M";0.01;APV
2023-04-10;"8305";"1Y";-0.02;APV
2023-04-10;"8305";YTD;-0.02;APV
2023-04-11;"8305";"1M";-0.03;APV
2023-04-11;"8305";"3M";0.01;APV
2023-04-11;"8305";"6M";0.04;APV
2023-04-11;"8305";"1Y";-0.01;APV
2023-04-11;"8305";YTD;-0.01;APV
2023-04-12;"8305";"1M";-0.02;APV
2023-04-12;"8305";"3M";0.01;APV
2023-04-12;"8305";"6M";0.06;APV
2023-04-12;"8305";"1Y";0.00;APV
2023-04-12;"8305";YTD;0.00;APV
2023-04-13;"8305";"1M";-0.01;APV
2023-04-13;"8305";"3M";0.02;APV
2023-04-13;"8305";"6M";0.05;APV
2023-04-13;"8305";"1Y";0.00;APV
2023-04-13;"8305";YTD;0.00;APV
2023-04-14;"8305";"1M";0.01;APV
2023-04-14;"8305";"3M";0.04;APV
2023-04-14;"8305";"6M";0.06;APV
2023-04-14;"8305";"1Y";0.01;APV
2023-04-14;"8305";YTD;0.01;APV
2023-04-15;"8305";"1M";0.03;APV
2023-04-15;"8305";"3M";0.04;APV
2023-04-15;"8305";"6M";0.06;APV
2023-04-15;"8305";"1Y";0.01;APV
2023-04-15;"8305";YTD;0.01;APV
2023-04-16;"8305";"1M";0.03;APV
2023-04-16;"8305";"3M";0.04;APV
2023-04-16;"8305";"6M";0.06;APV
2023-04-16;"8305";"1Y";0.01;APV
2023-04-16;"8305";YTD;0.01;APV
